,Question Asked,Agency
157,can I bring the dry ginseng dry mushroom to Singapore Just small amount to my best friend,AVA
158,COC approval time,SPF
159,PTR is 4000 or 5000,IRAS IIT
160,renunciation for PR,ICA
161,can i claim gst for import goods which export the goods again,IRAS GST
162,how to register a sole proprietor business under privated limited company,ACRA
163,How do I join forensics,SPF
164,new born baby how to check ptr balance,IRAS IIT
165,When can I get my LTA registration mark,LTA
166,can i visit Acra office to apply the registration of business,ACRA
167,Do i call 999 if i lost my 11B or make a eserivice police report,SPF
168,hi i missed todays check up,MINDEF
169,how to register past deadline,MINDEF
170,I would like to check if ACCA professional level with Malaysian Unified Examination Certificate is qualified to apply PCP,SSG
171,I am trying to renew Exit Permit for my son who is 14 years do I use my Singpass or he has Singpass,MINDEF
172,I would like to apply for Non-WSQ training organization profile hence enquired on what are the documents required for the application.,SSG
173,My passport expires on 24 jan 2020I am leaving for a 4 day holiday on 22 july 2019Is there any problem,ICA
174,how DO i CHECK TO SEE IF MY FINANCE HAS BEEN SETTLED,LTA
175,Hi how do I know whether its time for inspection,LTA
176,How much for public entertainment permit,SPF
177,do i need to submit tax,IRAS IIT
178,Can I bring in the frozen sea cucumber from malaysia,AVA
179,how to apply for a tourist visa,ICA
180,the customer and supplier are in Singapore but the shipment is from USA to India what is the nature of this supply zero rated or outof scope,IRAS GST
181,So dont need exit permit as long as he is enlisting in February,MINDEF
182,contributions made by employer to pension fund outside of singapore,IRAS IIT
183,How to check my gst 2019,IRAS GST
184,Pls let me have LTA hot line enquiry number,LTA
185,fingerprinting oversea,SPF
186,how can I claim tax relief for my nonworking parent,IRAS IIT
187,im applying for PR for my spouse,ICA
188,I have visa for multiple trips to India and Australia and if l am to renew my passport which has 8 more months before expiry will need for new visa because of changes,ICA
189,Nex mon is off in lieu Can i drive my rppc car without the need to pay 20,LTA
190,Open what time at 10 Sin Ming Drive,LTA
191,filing agent partnership,ACRA
192,HOW MUCH DID I PAY FOR MY LAST REP RENEWAL,ICA
193,Renouncing PR status,ICA
194,I will like to open a stall in singapore how am I able to register,ACRA
195,customer service hotline doest have the option to speak to the operator,LTA
196,i tried registering for my sons primary school entry but i got an error message online,MOE
197,What if I missed my appointment can I make a new appointment for passport,ICA
198,What is the longest stay for a visitor to Singapore,ICA
199,how to pay for gst output tax,IRAS GST
200,enquiry for course fee funding,SSG
201,how to become an approved WSQ training organization,SSG
202,deed,ACRA
203,How can I calculate tax,IRAS IIT
204,What time does erp stop in the morning,LTA
205,Where can I send my Eenquiry,ICA
206,Have got a requestment to update my childs information how,IRAS IIT
207,i wish to check my passport application status,ICA
208,If I have already used up my credit in 2017 do I still get S500 in my credit after top up,SSG
209,NOWPASSPORT RENEWAL NEED TO APPLY FOR NEWW PASSPORT,ICA
210,how can I report about scammed by the phone,SPF
211,How to find my WSQ diploma in leadership people management certificate,SSG
212,after my change of name is approved what should i do,ACRA
213,hi can i reschedule my appointment,MINDEF
214,certificate cant be downloaded,SSG
215,IMPORTER PERMIT FOR WINE,AVA
216,Can we file on behalf of a company where we are not the RFA,ACRA
217,where is the AVA hedoffice,AVA
218,How to download car registration details,LTA
219,fml reliase,IRAS IIT
220,Hi How can I pay to you via internet banking,ACRA
221,May I know if travelers from Johor are allowed to bring processed chicken like MCD or KFC into Singapore,AVA
222,Hi can i know the rate for foreigner to enter singapore by car,LTA
223,how can i update my new passport number in my students pass,ICA
224,HI Jamie Id like to know more about the Skills FUture Festival and how GE Power could participate next year,SSG
225,Appeal to weaive Notice no9191243346,LTA
226,i submitted my skill future claim after the course start date,SSG
227,i want to notify a trip,MINDEF
228,how do i claim for ns pay,MINDEF
229,how to apply passport for child,ICA
230,can I request for an extension to file my tax return again,IRAS IIT
231,can we accept sales invoice for purchases,IRAS GST
232,Do you have income tax guide in Chinese,IRAS IIT
233,Institute fees,MOE
234,hi lost of ic do I need personal go down to ica to do the replacement or I can do it online,ICA
235,The submission of Singapore visa for citizens of India is how many working days,ICA
236,Can I register my ic at ica,ICA
237,can I nominate someone to collect my IC as I am currently overseas and am not able to collect within 3 mths,ICA
238,fingerprint form for oversea,SPF
239,I have submitted application for my passport renewal can i get it within 3 days,ICA
240,what is the description of registered activity for Code Number 26129,ACRA
241,If I were to change ownership,ACRA
242,What will happen if I overstay in Singapore for a month,ICA
243,Can there have 2 business owner name for Sole Proprietorship,ACRA
244,may I know how to submit employees employment income information,IRAS IIT
245,can apply passport on Saturday,ICA
246,how to check how many demerit point i have currently,SPF
247,received fraud call everyday from number 44 20 39667579 and 44 20 39667578,SPF
248,extension of passport,ICA
249,There is no data in my bizfile zip file,ACRA
250,How to pay the registration fee before the new business can be successfully registered,ACRA
251,do you have the covering letter template for has experience elearning course,IRAS GST
252,Still today we have not yet receive my TAX,IRAS IIT
253,entry visa application for oversea friend been reject,ICA
254,what is my tax identification no,IRAS IIT
255,5 What document need to be submit for apply food shop licence,AVA
256,Can I travel since my PP has 7 months valid,ICA
257,my son is oct 2017 born can he get addmission in n1 MOE Kindergarten,MOE
258,what is class2 driving licence,SPF
259,i had applied for visit visa for my parents i got an update that its been rejected,ICA
260,This credit isnt once in a lifetime,SSG
261,partner withdraw no pending action,ACRA
262,Hi I am unable to submit my payslip for self employed,MINDEF
263,wrong course should be RC519053A,SSG
264,if I want to submit this extra income which put of iras should I inout the figure,IRAS IIT
265,how to pay using skillfuture credit,SSG
266,what is the email address for Visitor services centre,ICA
267,I reside in Australia,IRAS IIT
268,Hi I want to apply long term visit pass but what is travel document number,ICA
269,hi Jamie when can I change my address on my IC,SPF
270,What is the opening hours for queuing for appointment for passport interview,ICA
271,How to print my road tax receipt,LTA
272,I have live grown avocados plant can I bring back to singapore,AVA
273,waiting time long term visit pass,ICA
274,Hi Jamie where do i go to print out the application for gst form,IRAS GST
275,how to check online whether renewal passport is ready for collection,ICA
276,Thailand and Singapore dont require Visa to Korean citizens for shortterm visit,ICA
277,WHats your general email,LTA
278,check my pr status,ICA
279,I am applying for COC What is the Bachelor Degree NR,SPF
280,What kind of warehouse needs an AVA license,AVA
281,can get ACRA staff to assist on filling annual return,ACRA
282,Hi I start work in Singapore in 2019 Do i need to file tax form now,IRAS IIT
283,Must every company appoint a RFA,ACRA
284,What i mean is a fine I have submitted an appeal for the fine,LTA
285,I already settled my outstanding Medisave payment How do I retrieve it,ACRA
286,Hello Would like to restart GIRO for my personal income tax,IRAS IIT
287,Enquiries of offense,LTA
288,how to change secondary business activity,ACRA
289,How to transfer the remaining validity REP from the old to the new passport,ICA
290,how do i transfer the registration of my escooter,LTA
291,myica homepage error,ICA
292,I like to check my road tax due date,LTA
293,How to check for warrant of arrest,SPF
294,If Im eligible for vftf then can I exit the Singapore airport,ICA
295,can company claim for uniform,IRAS GST
296,tax deduction of professional board member fee,IRAS IIT
297,I would like to lay up my bike but i am overseas,LTA
298,How long will the application take for the APEC card,ICA
299,How can I check on the status of my appeal,LTA
300,Printout of the business entitys detailed business profile,ACRA
301,may i check how to renew COE,LTA
302,Hi for foreign driving licence conversion if the original documents are in Spanish do you require the Spanish Embassy to endorse the translated document,SPF
303,is it possible to buy collar pin,MINDEF
304,Is there any double tax agreement between The Netherlands and SSingapore,IRAS IIT
305,Myself Singapore PR Need to apply Long Term Visa for my mother,ICA
306,what do you mean by any person doing business under his or her name Please give examples,ACRA
307,How to count the96 hours of VFTF,ICA
308,what if I graduate on feb when will i enlist,MINDEF
309,where can I get my car log card,LTA
310,driving a malaysian car,LTA
311,i have to extend my stay I am on tourist visa,ICA
312,How much is incorporation fees,ACRA
313,How do I apply for security licence,SPF
314,Hello how do I cancel my IPPT,MINDEF
315,Im as an employer looking for candidates,SSG
316,permitted food additive,AVA
317,i have key in wrong info for evisa,ICA
318,the eappointment for apply student pass is full,ICA
319,previous editions of etax guides,IRAS GST
320,My car expired on 4 march 2019 how to buy coe,LTA
321,can i renew LTVP two months before expiry date,ICA
322,No I meant where can I find the JAE JC appeal form,MOE
323,besides the skill future credit is there any other assistance in course fees,SSG
324,if I lose my job but am studying in Singapore can I apply for a student pass,ICA
325,I am a bakery can i sell beverage,AVA
326,I have not received any letter yet,MINDEF
327,Eggs warehouse,AVA
328,Does that apply to Registered Societies,IRAS GST
329,I would like to bring my dog poodle small type from johor bahru to Singapore But I holder SPass work in Singapore and staying with my aunties,AVA
330,how to get the car profile details,LTA
331,Job scope of police,SPF
332,with my reference no can i made payment again,ACRA
333,what is Qualification Title,SSG
334,connect to real person,ICA
335,in SMS File your 2019 tas returnmytasirasgovsgirasFormBB1 before 18 april,IRAS IIT
336,how to check my post education account,MOE
337,But it is small fair,AVA
338,where do I fill up the preenlistment,MINDEF
339,does loss of nric include theft,ICA
340,must display owner particulars on goods vehicle,LTA
341,Hi can i get a replacement passport on the day i report a loss passport,ICA
342,I am a visiting scholar in NTU holding TEP pass and I have no access to register an account of IRAS also NTU doesnt provide tax clearance for me how can I pay my tax,IRAS IIT
343,replace bidding number,LTA
344,I would like to review the application made for my REP It was done in 2017,ICA
345,which my bed,MOE
346,I NOT YET RECEIVE MY PRODUCT VIA EMAIL,ACRA
347,i dont met criteria of 20 points,MOE
348,Individual tax filing,IRAS IIT
349,how do i login Exit Permit,MINDEF
350,would like to ask is it possible for us to go ICA collect our passport without the eappointment as we need the passport urgently,ICA
351,When maximum tax payable increase from 20 to 22,IRAS IIT
352,0700 hours for ippt is in the morning or night,MINDEF
353,I have one LLP with 2 persons now one of partner is resigning can i maintain the LLP or I need to change to sole proprietor,ACRA
354,how to submit annual agm,ACRA
355,Is it possible to check the daily schedule for my upcoming reservist,MINDEF
356,if we Pr apply as a family if one get rejected all of us will be rejected,ICA
357,What is IRAS bank account number for payment of property tax,IRAS IIT
358,Pdl expiry,SPF
359,What kind of support is the government providing me to employ trainees under the PCP?,SSG
360,when is the next bid exercise for car VRN,LTA
361,i was applying for the extension of stay in Singapore the online form asked me to fill in the DE card number However I dont have a DE card number,ICA
362,how do i waive off penalty charges,ACRA
363,how much do I get if i scrap my car,LTA
364,financial year more than 12 months,ACRA
365,Expense claim for shipment back home when contract ended Is this taxable,IRAS IIT
366,Hello is schooling taxable if it is an allowance paid directly to school upon invoice,IRAS IIT
367,where can i upload an updated insurance cover since your system was not updated yet,LTA
368,Can MHC claim Skills Future,SSG
369,when will be the primary 1 registration starting,MOE
370,How long can i apply for an exit permit,MINDEF
371,renewal of sole proprietorship license,ACRA
372,Can I claim spouse child relief if my spouse child are staying in home country I am staying alone in Singapore,IRAS IIT
373,i holding work permit how i login to check the income tax,IRAS IIT
374,why using a decent and non usable company name need to seek approval,ACRA
375,Status cancel,ACRA
376,submit tax clearance work pass nit cancel,IRAS IIT
377,how to convert sole Proprietor into pte ltd,ACRA
378,how do I amend last years notice of assessment,IRAS IIT
379,Hi i did not receive notification letter to reregister my identity card,ICA
380,have submitted PR application But after that I renewed my passport,ICA
381,I had an accident and received a payout from the other party is that taxable,IRAS IIT
382,I am new citizen yesterday and I want to apply my passport today but the system still not eligible for me,ICA
383,Question on updating of mailing address,IRAS IIT
384,how to set up franchise company,ACRA
385,is there any online courses that i can do it over computer for free,SSG
386,i have a traffic offence in Oct 2018,SPF
387,How to search for my car log card,LTA
388,When will ACRA system be up,ACRA
389,I need to complete student pass formalities but my stay at Singapore is going to be invalide,ICA
390,If my citizen application have been approved after Jun what should we do for the application is it still follow the PHASE 3 REGISTRATION,MOE
391,what is Amount of Issued Share Capital,ACRA
392,may i know your email,SPF
393,how do i print my medical status,MINDEF
394,what is the different between total discharge and total satisfaction,ACRA
395,When can I know phase 1 taken up vacancy,MOE
396,is there a deadline for date of audited accounts,ACRA
397,do i need to declare tax even if i earn less than 22000,IRAS IIT
398,I have encountered a problem to access my Physical Employment Standards PES status for enlistment from ehealth I have done the medical screening on DecMedical Review,MINDEF
399,where to declare rental,IRAS IIT
400,Meal and transport allowance,IRAS IIT
401,HOW DO i PAY THE 100 FOR THE REGISTRATION OF BUSINESS,ACRA
402,child 16 years old in november,IRAS IIT
403,registration of my children,ICA
404,I need a copy of my visa,ICA
405,did not receive free bizfile profile,ACRA
406,Hi How do i make changes to my personal reliefs,IRAS IIT
407,can transfer be done on someones behalf,LTA
408,I have apply to strike off my LLP company how do I know whether successful a not,ACRA
409,Not road tax escooter transfer fee of 7 as i have no enets,LTA
410,Do i need to print the completed medical screening questionnaire with my parents signature,MINDEF
411,"Why the ERP fine can only pay by credit card, not debut card?",LTA
412,How can I apply for my secondary concession card I was told to do it thru MOE website but seems I cant find a way to apply,MOE
413,I have already register my pmd since january nd i would like to buy a new scooter If i buy a new scooter can i transfer my registered number to a new scooter,LTA
414,how long to get singpass oin,IRAS IIT
415,Can i know how long can a malaysian stay in singapore,ICA
416,i have a passenger Somalian want to go Milan flight transit in Singapore Do they need to apply for any transit visa,ICA
417,Hi Jamie what do I need to know about exporting sweet potato to singpore,AVA
418,Hi Im from australia and want to report a commercial crime which has been commited by a singaporean national where can i contact the right department of police in sing,SPF
419,Hello if i previously had a sole prop registered and had closed this down can i reopen or renew this name again,ACRA
420,is it possible to change a single to double multiple entry visa which has been issued to an Indian passport holder against a request by a Singapore Citizen,ICA
421,Does PR have the expiry date,ICA
422,How to update with my new insurance,LTA
423,selling food in public,AVA
424,LTA transfer for forklift,LTA
425,Directors fees approved but not paid,IRAS IIT
426,UNIVERSITY STUDY,MINDEF
427,how to update my son citizenship,MOE
428,can i get a receipt for my application of driving license,SPF
429,I need to incorporate a business,ACRA
430,when will my tax be deducted from giro,IRAS IIT
431,why have I not received my income tax statement,IRAS IIT
432,What are the items that need to declare for benefit in kind,IRAS IIT
433,Can we claim GST for expense reimbursement,IRAS GST
434,Where do i get the question,MINDEF
435,What are the courses for the WSQ full qualification,SSG
436,Im getting below error during visa extension request,ICA
437,how can I confirm if my endorsement has been confirmed,MINDEF
438,Hi how to renew driving licence for foreigner,SPF
439,Collection of coc if residing abroad,SPF
440,How do I know if I need a vicom inspection,LTA
441,GST Reg email,IRAS GST
442,I register already my e scooter but how can i get my sticker registrarion,LTA
443,my spouse in singapore PR and not working Can i apply for PR,ICA
444,Gst for resale motorcycle,IRAS GST
445,how to register with sfa,AVA
446,Registration sticker,LTA
447,eps prompting me to login with corppass,ACRA
448,IC was stolen overseas and made police report do i still need to make police report in Singapore before replacing the lost IC,ICA
449,TO BUY A BUSINESS PROFILE WHERE TO MAKE PAYMENT,ACRA
450,good morning kindly check with you I need to check my assessment results unable to find please assit thanks,SSG
451,collet gst on behalf,IRAS GST
452,my wife holding a thailand driving licence Can she drive in singapore,SPF
453,Hi How do I sign up for DIPS course,SPF
454,where can I see status of my report to the police,SPF
455,which orgainsation iras or iras other tax,IRAS IIT
456,i lost my ID,ICA
457,how can i check my son enlistment date,MINDEF
458,How can I find approved list of slaughter,AVA
459,Applying for long term visit pass,ICA
460,accidentally cancelled exit permit,MINDEF
461,reprint REO,ICA
462,Create a subsidiary company,ACRA
463,Renewal of business via singpass,ACRA
464,consent to Act as Director form,ACRA
465,Im Malaysian SPR with passport expiry on 22 Dec 2019 May I know whether Im allow to travel to Malaysia by flight on July 2019,ICA
466,skills future usage,SSG
467,Where can print out my food shop license,AVA
468,2018 tax calculator,IRAS IIT
469,where can i apply coc,SPF
470,to check traffic fines and demrit point,SPF
471,Do I need a visa to Singapore if my rep expired,ICA
472,filing agent faqi,ACRA
473,CAN I HAVE THE TELEPHONE NO TO TALK TO CUSTOMER SERVICS,SSG
474,Is interest income from RHB bank taxable,IRAS IIT
475,how to apply for ETSS grant,SSG
476,notice by local company of alteration in share capital under s71,ACRA
477,I own a property but my property is rented out so I submit my rental income for my tax as my house is rented out I am currently renting a place to stay,IRAS IIT
478,i had received a No Filing Service letter,IRAS IIT
479,charter accountant search,ACRA
480,How to set up public limited company,ACRA
481,can i change to a multipile visa,ICA
482,how to find out is premises is holding an ME licence,SPF
483,I submitted identify card registration on 3 may but have not received any notifiction,ICA
484,amout of child relief,IRAS IIT
485,even the device is for elderly,LTA
486,what is the VES for Mitsubishi Outlander,LTA
487,Hi I am planning to renew my passport but I forgot my singpass details,ICA
488,how to make payment after i have transaction no for register a new company,ACRA
489,fine of entering ERP with faulty IU,LTA
490,how to check for car require for vicom inspection,LTA
491,Hi Jamie I would like to ask is this already applicable in Singapore Airport Tomorrow my boss will going to Singapore he is UK passport Do he need apply this,ICA
492,I am a long term PR holder from 1995 I need to know the expiry date of my PR issued in 2014,ICA
493,yet Can I claim the two time GST input tax,IRAS GST
494,When will I get my get for 2017 my tax was done on Fed15 and efiled,IRAS GST
495,do i need to put a stamp,IRAS IIT
496,I am holding the HKSAR passport do i need a visa to enter singapore,ICA
497,I have already incorporated the company and now wish to get the certificate of incorporation,ACRA
498,Hi Jamie what is the at least passport validity for one to travel,ICA
499,mft scheme,IRAS GST
500,ltvp approved in principal can I leave singapore,ICA
501,What to do after ippt,MINDEF
502,I would like to scrap it my self,LTA
503,how do i key in my annualy pay,IRAS IIT
504,i holding permanent resident for about 4 year can i still convert my driving license,SPF
505,application status for security license,SPF
506,what is the current vacancy position at st stephens,MOE
507,confirm my ICT location,MINDEF
508,forgot to buy day pass,LTA
509,you have any scrapyard in Changi,LTA
510,I have a normal car that is going to be 10 years old If I extend its coe by purchasing a new coe and concert it to an ROPC car is it eligible for the rebates,LTA
511,Can Malaysia left hand drive cars enter sg,LTA
512,If i work from 14th of May 2018 to 26th of October 2018 Then I quitted and went back to my nation started working again in Singapore from 3rd of Jan 2019 to now,IRAS IIT
513,what is the difference between the abusive account and the psea account?,MOE
514,i did resubmit a fresh visa application with the correct information but it was rejected,ICA
515,Can I claim tax rebates if both of my parents are not working,IRAS IIT
516,how to check license points,SPF
517,amend ipt date,MINDEF
518,G PLATE CAN REGISTRATION UNDER PERSONAL NAME,LTA
519,how to submit WTS training allowance?,SSG
520,Hi I am working in Singapore as a visiting scholar for about 4 months I am employed in HongKong Do I need to pay tax,IRAS IIT
521,I AHVE SUBMITTED MY EMAIL TO RECEIVE MY ACRA BIZFILE WAS SHORT OF ONE LETTER WORDS,ACRA
522,how do i change eletronic register of members,ACRA
523,My company register as a pte ltd in feb2 last year when should i hold the AGM,ACRA
524,Already paid 604 to renew SDY37R road tax however NO confirmation fr lta thru my e mail millgohgmailcom,LTA
525,When i insert my cashcard cannot see balance,LTA
526,Change owner of dog,AVA
527,just need an email address,AVA
528,dependant pass can become a company secretary,ACRA
529,brining laptop,MINDEF
530,Hi Ive talked to one of your customer service officers My LTA fines is due today 28 May 2019 Im asking for extension for another 3 more days till 31st May,LTA
531,how do i change my address of my company,ACRA
532,How if I did not received any email with hyperlink,ACRA
533,can you advise what is the latest speed limit for heavy vehicle in singapore,LTA
534,When can I start applying for P1,MOE
535,delete pr application,ICA
536,License for import export and transhipment of meat product and fish products,AVA
537,Hi I need to help my china friend child to apply entry visa izit the same process of the entry visa for the adult,ICA
538,Partial Exemption Input Tax RecoveryCalculator,IRAS GST
539,hi there is an error in my submission,IRAS IIT
540,I am travelling from USA to Singapore on United Airlines and have a onward ticket on a different airlines to India,ICA
541,What head do I declare my freelance income,IRAS IIT
542,Interest on late rental payment,IRAS GST
543,payment of road tax for vehicle NoGBD644Y,LTA
544,Punggol area nursery kindergarten MOE Kindergarten,MOE
545,In the process of renewal when does old passport becomes invalid,ICA
546,Hi i would like to renew my passport,ICA
547,Is Sole Proprietor under Individual or Corporate Tax,IRAS IIT
548,How to see car plate number to bid,LTA
549,hello my company going to import process food and clear the custom by fowarder please advice me how to proceed,AVA
550,EXEMPTIONS of chinese,MOE
551,how can i get a soft copy of transfer letter,LTA
552,Why is my tax statement still processing,IRAS IIT
553,Does Singaporean allowed to buy flour from Malaysia for home consumption,AVA
554,what is the maximum passport collection time,ICA
555,Loan interest accrued from Company located in Australia is it taxable,IRAS IIT
556,tax for utility bill,IRAS GST
557,Now I want to learn digital marketing and digital on line how do we apply for new skills futures credit,SSG
558,how to file for insurance,IRAS IIT
559,I am a consumer,IRAS GST
560,My kids are studying in India If I want to bring them here what will be the procedure,MOE
561,I would like to ask how long can someone with a british passport stay in singapore,ICA
562,its not company name its company address,ACRA
563,Photo service operating hours,ICA
564,How will i be called back for mob manning,MINDEF
565,How do I reregister my IC,ICA
566,EDIT VISA APPLICATION,ICA
567,I will like to apply for Employer DIRECT scheme for a staff who will be attending his ICT in March How do I go about doing so,MINDEF
568,I am now at the outstanding traffic offence page how to view any outstanding record,SPF
569,where can I retrieve demerit point at eservices,SPF
570,Check registered car by chassic number,LTA
571,can some one call me,IRAS IIT
